country;year;pop;continent; lifeExp ;gdpPercap
Afghanistan;1952;8425333;Asia;28801;7794453145
Afghanistan;1957;9240934;Asia;30332;8208530296
Afghanistan;1962;10267083;Asia;31997;85310071
Afghanistan;1967;11537966;Asia;3402;8361971382
Afghanistan;1972;13079460;Asia;36088;7399811058
Afghanistan;1977;14880372;Asia;38438;78611336
Afghanistan;1982;12881816;Asia;39854;9780114388
Afghanistan;1987;13867957;Asia;40822;8523959448
Afghanistan;1992;16317921;Asia;41674;6493413952
Afghanistan;1997;22227415;Asia;41763;635341351
Afghanistan;2002;25268405;Asia;42129;7267340548
Afghanistan;2007;31889923;Asia;43828;9745803384
Albania;1952;1282697;Europe;5523;1601056136
Albania;1957;1476505;Europe;5928;1942284244
Albania;1962;1728137;Europe;6482;2312888958
Albania;1967;1984060;Europe;6622;2760196931
Albania;1972;2263554;Europe;6769;3313422188
Albania;1977;2509048;Europe;6893;353300391
Albania;1982;2780097;Europe;7042;3630880722
Albania;1987;3075321;Europe;72;3738932735
Albania;1992;3326498;Europe;71581;2497437901
Albania;1997;3428038;Europe;7295;3193054604
Albania;2002;3508512;Europe;75651;4604211737
Albania;2007;3600523;Europe;76423;5937029526
Algeria;1952;9279525;Africa;43077;2449008185
Algeria;1957;10270856;Africa;45685;3013976023
Algeria;1962;11000948;Africa;48303;255081688
Algeria;1967;12760499;Africa;51407;3246991771
Algeria;1972;14760787;Africa;54518;4182663766
Algeria;1977;17152804;Africa;58014;4910416756
Algeria;1982;20033753;Africa;61368;5745160213
Algeria;1987;23254956;Africa;65799;5681358539
Algeria;1992;26298373;Africa;67744;5023216647
Algeria;1997;29072015;Africa;69152;4797295051
Algeria;2002;31287142;Africa;70994;5288040382
Algeria;2007;33333216;Africa;72301;6223367465
Angola;1952;4232095;Africa;30015;3520610273
Angola;1957;4561361;Africa;31999;3827940465
Angola;1962;4826015;Africa;34;4269276742
Angola;1967;5247469;Africa;35985;5522776375
Angola;1972;5894858;Africa;37928;5473288005
Angola;1977;6162675;Africa;39483;3008647355
Angola;1982;7016384;Africa;39942;2756953672
Angola;1987;7874230;Africa;39906;2430208311
Angola;1992;8735988;Africa;40647;2627845685
Angola;1997;9875024;Africa;40963;2277140884
Angola;2002;10866106;Africa;41003;2773287312
Angola;2007;12420476;Africa;42731;4797231267
Argentina;1952;17876956;Americas;62485;5911315053
Argentina;1957;19610538;Americas;64399;6856856212
Argentina;1962;21283783;Americas;65142;7133166023
Argentina;1967;22934225;Americas;65634;8052953021
Argentina;1972;24779799;Americas;67065;9443038526
Argentina;1977;26983828;Americas;68481;1007902674
Argentina;1982;29341374;Americas;69942;8997897412
Argentina;1987;31620918;Americas;70774;9139671389
Argentina;1992;33958947;Americas;71868;930841871
Argentina;1997;36203463;Americas;73275;1096728195
Argentina;2002;38331121;Americas;7434;8797640716
Argentina;2007;40301927;Americas;7532;1277937964
Australia;1952;8691212;Oceania;6912;1003959564
Australia;1957;9712569;Oceania;7033;1094964959
Australia;1962;10794968;Oceania;7093;1221722686
Australia;1967;11872264;Oceania;711;1452612465
Australia;1972;13177000;Oceania;7193;1678862948
Australia;1977;14074100;Oceania;7349;1833419751
Australia;1982;15184200;Oceania;7474;1947700928
Australia;1987;16257249;Oceania;7632;2188888903
Australia;1992;17481977;Oceania;7756;2342476683
Australia;1997;18565243;Oceania;7883;2699793657
Australia;2002;19546792;Oceania;8037;3068775473
Australia;2007;20434176;Oceania;81235;3443536744
Austria;1952;6927772;Europe;668;6137076492
Austria;1957;6965860;Europe;6748;884259803
Austria;1962;7129864;Europe;6954;1075072111
Austria;1967;7376998;Europe;7014;128346024
Austria;1972;7544201;Europe;7063;166616256
Austria;1977;7568430;Europe;7217;197494223
Austria;1982;7574613;Europe;7318;2159708362
Austria;1987;7578903;Europe;7494;2368782607
Austria;1992;7914969;Europe;7604;2704201868
Austria;1997;8069876;Europe;7751;2909592066
Austria;2002;8148312;Europe;7898;3241760769
Austria;2007;8199783;Europe;79829;361264927
Bahrain;1952;120447;Asia;50939;9867084765
Bahrain;1957;138655;Asia;53832;1163579945
Bahrain;1962;171863;Asia;56923;1275327514
Bahrain;1967;202182;Asia;59923;148046727
Bahrain;1972;230800;Asia;633;1826865839
Bahrain;1977;297410;Asia;65593;1934010196
Bahrain;1982;377967;Asia;69052;1921114731
Bahrain;1987;454612;Asia;7075;1852402406
Bahrain;1992;529491;Asia;72601;1903557917
Bahrain;1997;598561;Asia;73925;2029201679
Bahrain;2002;656397;Asia;74795;2340355927
Bahrain;2007;708573;Asia;75635;2979604834
Bangladesh;1952;46886859;Asia;37484;6842441716
Bangladesh;1957;51365468;Asia;39348;6616374577
Bangladesh;1962;56839289;Asia;41216;6863415538
Bangladesh;1967;62821884;Asia;43453;7211860862
Bangladesh;1972;70759295;Asia;45252;6302336265
Bangladesh;1977;80428306;Asia;46923;6598772322
Bangladesh;1982;93074406;Asia;50009;6769818656
Bangladesh;1987;103764241;Asia;52819;7519794035
Bangladesh;1992;113704579;Asia;56018;8378101643
Bangladesh;1997;123315288;Asia;59412;9727700352
Bangladesh;2002;135656790;Asia;62013;113639043
Bangladesh;2007;150448339;Asia;64062;1391253792
Belgium;1952;8730405;Europe;68;8343105127
Belgium;1957;8989111;Europe;6924;9714960623
Belgium;1962;9218400;Europe;7025;1099120676
Belgium;1967;9556500;Europe;7094;1314904119
Belgium;1972;9709100;Europe;7144;1667214356
Belgium;1977;9821800;Europe;728;1911797448
Belgium;1982;9856303;Europe;7393;2097984589
Belgium;1987;9870200;Europe;7535;2252556308
Belgium;1992;10045622;Europe;7646;2557557069
Belgium;1997;10199787;Europe;7753;2756119663
Belgium;2002;10311970;Europe;7832;3048588375
Belgium;2007;10392226;Europe;79441;3369260508
Benin;1952;1738315;Africa;38223;10627522
Benin;1957;1925173;Africa;40358;9596010805
Benin;1962;2151895;Africa;42618;9494990641
Benin;1967;2427334;Africa;44885;1035831411
Benin;1972;2761407;Africa;47014;1085796879
Benin;1977;3168267;Africa;4919;1029161251
Benin;1982;3641603;Africa;50904;1277897616
Benin;1987;4243788;Africa;52337;122585601
Benin;1992;4981671;Africa;53919;1191207681
Benin;1997;6066080;Africa;54777;1232975292
Benin;2002;7026113;Africa;54406;1372877931
Benin;2007;8078314;Africa;56728;1441284873
Bolivia;1952;2883315;Americas;40414;2677326347
Bolivia;1957;3211738;Americas;4189;2127686326
Bolivia;1962;3593918;Americas;43428;2180972546
Bolivia;1967;4040665;Americas;45032;2586886053
Bolivia;1972;4565872;Americas;46714;2980331339
Bolivia;1977;5079716;Americas;50023;3548097832
Bolivia;1982;5642224;Americas;53859;3156510452
Bolivia;1987;6156369;Americas;57251;275369149
Bolivia;1992;6893451;Americas;59957;2961699694
Bolivia;1997;7693188;Americas;6205;3326143191
Bolivia;2002;8445134;Americas;63883;341326269
